,Name,Rating,Number of Ratings,Longitude,Latitude,Types,neighborhood,Type_1,Type_2,Type_3,Type_4
1056,KFC,3.6,1311.0,46.713719,24.6382089,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1057,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, meal_delivery, meal_takeaway, point_of_interest
1058,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1059,Herfy,3.8,896.0,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1060,Burger King - Exit 28,3.8,1294.0,46.6212052,24.5681274,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1061,برجر كاسل,4.1,1057.0,46.6345087,24.714561,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1062,Subway,3.7,452.0,46.7834343,24.7289012,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1063,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, bar, night_club, food
1064,Al Tazaj,3.6,4796.0,46.6443952,24.6002206,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1065,Al Romansiah,4.2,9584.0,46.7069578,24.5620929,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1066,McDonald's,3.7,2043.0,46.640038,24.598766,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1067,McDonald's,3.9,3568.0,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1068,Subway,3.8,341.0,46.65607869999999,24.608878,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1069,Herfy,3.5,746.0,46.675,24.6755556,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1070,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,lodging, restaurant, food, point_of_interest
1071,KFC,3.8,1219.0,46.6889225,24.62540690000001,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1072,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1073,Al Romansiah Restaurant - Al Nasseem District,4.2,8154.0,46.81462699999999,24.7335149,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1074,Herfy,3.6,872.0,46.750084,24.7795459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1075,KFC,3.5,1825.0,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1076,Herfy,3.8,1081.0,46.7975115,24.7809607,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1077,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1078,Al Romansiah,4.2,9460.0,46.792399,24.695811,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي الصحافة,restaurant, food, point_of_interest, establishment
1079,KFC,3.8,2246.0,46.6647609,24.7045778,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي الصحافة,restaurant, point_of_interest, food, establishment
1080,فندق ميرا,3.7,1336.0,46.69398469999999,24.7012777,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,lodging, restaurant, food, point_of_interest
1081,مركز ماي كار لصيانة السيارات الاوروبية,3.5,2755.0,46.5764369,24.85175139999999,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1082,Luthan Hotel and Spa,4.0,423.0,46.6417087,24.7066487,"['spa', 'lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,spa, lodging, restaurant, food
1083,Dining Hall,3.0,27.0,46.6196551,24.7209893,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1084,Sushi Yoshi,4.0,1721.0,46.7061255,24.7048211,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1085,Najd Village,3.9,11310.0,46.70469529999999,24.7426043,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, point_of_interest, food, establishment
1086,Wooden Bakery,4.3,10550.0,46.7226815,24.6941192,"['bakery', 'restaurant', 'food', 'store', 'point_of_interest', 'establishment']",حي النرجس,bakery, restaurant, food, store
1087,Najd Village,3.8,8468.0,46.66923329999999,24.6976883,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1088,Domino's Pizza,3.8,589.0,46.6049938,24.692347,"['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,meal_delivery, meal_takeaway, restaurant, food
1089,KFC,3.7,2198.0,46.737091,24.59506409999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, point_of_interest, food, establishment
1090,McDonald's,3.9,2735.0,46.69138399999999,24.570255,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1091,Mama Noura,4.3,23691.0,46.70188479999999,24.6916263,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1092,Burger King - Al Quds,3.6,1707.0,46.740762,24.75733899999999,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, point_of_interest, food, establishment
1093,Derati Restaurant,3.7,1331.0,46.58854249999999,24.6368753,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1094,Kudu - Al Rayyan,3.8,1803.0,46.7889345,24.7092575,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, meal_delivery, meal_takeaway, food
1095,Dominos,3.8,639.0,46.6240752,24.8105963,"['meal_delivery', 'meal_takeaway', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,meal_delivery, meal_takeaway, restaurant, point_of_interest
1096,Hardee's,3.3,827.0,46.6436339,24.6008518,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1097,KFC,3.5,975.0,46.6441676,24.6004069,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1098,Derati Restaurants & Kitchens,3.8,994.0,46.66901430000001,24.5881775,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, point_of_interest, food, establishment
1099,Kudu - Al Malaz,3.9,1944.0,46.72442909999999,24.6663876,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, meal_delivery, meal_takeaway, point_of_interest
1100,قصر الهند,3.8,6168.0,46.75289959999999,24.75744370000001,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1101,Herfy,3.8,1376.0,46.6983362,24.6940569,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1102,Al Jalab Restaurant,4.3,1543.0,46.6870006,24.7337823,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1103,Herfy,3.7,380.0,46.6575254,24.7559561,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, point_of_interest, food, establishment
1104,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.7,649.0,46.6625465,24.7579306,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,meal_delivery, restaurant, food, point_of_interest
1105,Burger King - Bin Turkey,3.7,681.0,46.619087,24.746228,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1106,Al Romansiah,4.1,8499.0,46.81412389999999,24.7587183,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1107,Little Caesars Pizza! Pizza! !ليتل سيزرز بيتزا! بيتزا,3.9,719.0,46.65586740000001,24.7247857,"['meal_delivery', 'restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,meal_delivery, restaurant, point_of_interest, food
1108,Al Saudi Restaurant,3.9,4618.0,46.70311350000001,24.6957429,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1109,Kudu - Al Seteen Palace,3.9,2399.0,46.7231741,24.6905735,"['restaurant', 'meal_delivery', 'meal_takeaway', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, meal_delivery, meal_takeaway, food
1110,TOKYO,4.3,7203.0,46.68670509999999,24.7181459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1111,Kudu - Al Wurud,4.0,1024.0,46.6758245,24.7322926,"['restaurant', 'meal_delivery', 'meal_takeaway', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, meal_delivery, meal_takeaway, point_of_interest
1112,Herfy,3.8,896.0,46.6736126,24.7609124,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1113,برجر كاسل,4.1,1057.0,46.6345087,24.714561,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, point_of_interest, food, establishment
1114,Sheikh Al-Mandi Restaurant,3.5,2022.0,46.70186499999999,24.693749,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1115,Subway,3.7,452.0,46.7834343,24.7289012,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1116,Diet Center - دايت سنتر,4.1,74.0,46.784153,24.681048,"['grocery_or_supermarket', 'restaurant', 'food', 'store', 'point_of_interest', 'health', 'establishment']",حي النرجس,grocery_or_supermarket, restaurant, food, store
1117,وايت قاردن,4.2,4534.0,46.6836945,24.6943084,"['restaurant', 'bar', 'night_club', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, bar, night_club, point_of_interest
1118,KFC,3.6,1452.0,46.7923858,24.6840264,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1119,Fairmont Riyadh,4.7,5105.0,46.7182893,24.8082207,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,lodging, restaurant, food, point_of_interest
1120,Burger King - Exit 8 Dammam Rd,3.7,1210.0,46.743149,24.800591,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1121,Herfy,3.6,872.0,46.750084,24.7795459,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1122,Mama Noura,4.1,11464.0,46.6653609,24.5717473,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1123,Pizza Era,3.9,401.0,46.6423155,24.8200347,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1124,Al Romansiah,4.2,11683.0,46.63529399999999,24.783657,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1125,Herfy,3.5,746.0,46.675,24.6755556,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1126,Herfy,3.8,1081.0,46.7975115,24.7809607,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1127,McDonald's,3.9,3568.0,46.794646,24.713222,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1128,KFC,3.6,1311.0,46.713719,24.6382089,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, point_of_interest, food, establishment
1129,KFC,3.5,1825.0,46.76440969999999,24.7327532,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1130,KFC,3.8,2246.0,46.6647609,24.7045778,"['restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,restaurant, food, point_of_interest, establishment
1131,Burger King - Rawdah,3.7,1370.0,46.76226500000001,24.735643,"['restaurant', 'point_of_interest', 'food', 'establishment']",حي النرجس,restaurant, point_of_interest, food, establishment
1132,Shawarmer | شاورمر,3.9,1911.0,46.6338494,24.7133267,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",حي النرجس,meal_takeaway, restaurant, food, point_of_interest
